Timestamp,Query,Title,Authors,Abstract,Year,URL
2025-06-23 03:37:10,IoT & Smart Systems,"Security and Machine Learning Adoption in IoT: A Preliminary Study of
  IoT Developer Discussions",Gias Uddin,"Internet of Things (IoT) is defined as the connection between places and physical objects (i.e., things) over the internet/network via smart computing devices. Traditionally, we learn about the IoT ecosystem/problems by conducting surveys of IoT developers/practitioners. Another way to learn is by analyzing IoT developer discussions in popular online developer forums like Stack Overflow (SO). However, we are aware of no such studies that focused on IoT developers' security and ML-related discuss",2021,http://arxiv.org/abs/2104.00634v1
2025-06-23 03:37:10,IoT & Smart Systems,An Evidence-based Roadmap for IoT Software Systems Engineering,"Rebeca C. Motta, Káthia M. de Oliveira, Guilherme H. Travassos","Context: The Internet of Things (IoT) has brought expectations for software inclusion in everyday objects. However, it has challenges and requires multidisciplinary technical knowledge involving different areas that should be combined to enable IoT software systems engineering. Goal: To present an evidence-based roadmap for IoT development to support developers in specifying, designing, and implementing IoT systems. Method: An iterative approach based on experimental studies to acquire evidence ",2023,http://arxiv.org/abs/2303.07862v1
2025-06-23 03:37:10,IoT & Smart Systems,Agentic Search Engine for Real-Time IoT Data,"Abdelrahman Elewah, Khalid Elgazzar","The Internet of Things (IoT) has enabled diverse devices to communicate over the Internet, yet the fragmentation of IoT systems limits seamless data sharing and coordinated management. We have recently introduced SensorsConnect, a unified framework to enable seamless content and sensor data sharing in collaborative IoT systems, inspired by how the World Wide Web (WWW) enabled a shared and accessible space for information among humans. This paper presents the IoT Agentic Search Engine (IoT-ASE), ",2025,http://arxiv.org/abs/2503.12255v1
2025-06-23 03:37:10,IoT & Smart Systems,Data Trust and IoT,Mayra Samaniego,"People IoT surroundings have become valuable information sources that can positively impact individuals and society. A user IoT data can be used for different purposes. For instance, research and improvement of public services. However, individuals lack the governance power to share their IoT data. Data trust is a concept that brings opportunities to address data sharing in IoT. This research reviews the idea of data trust. Then, we review IoT and its unique characteristics that implement data t",2022,http://arxiv.org/abs/2205.14806v1
2025-06-23 03:37:10,IoT & Smart Systems,"Comparison of Code Quality and Best Practices in IoT and non-IoT
  Software","Nour Khezemi, Sikandar Ejaza, Naouel Moha, Yann-Gaël Guéhéneuc","Context: IoT systems, networks of connected devices powered by software, require studying software quality for maintenance. Despite extensive studies on non-IoT software quality, research on IoT software quality is lacking. It is uncertain if IoT and non-IoT systems software are comparable, hindering the confident application of results and best practices gained on non-IoT systems.   Objective: Therefore, we compare the code quality of two equivalent sets of IoT and non-IoT systems to determine ",2024,http://arxiv.org/abs/2408.02614v1
2025-06-23 03:41:06,IoT & Smart Systems,"Security and Machine Learning Adoption in IoT: A Preliminary Study of
  IoT Developer Discussions",Gias Uddin,"Internet of Things (IoT) is defined as the connection between places and physical objects (i.e., things) over the internet/network via smart computing devices. Traditionally, we learn about the IoT ecosystem/problems by conducting surveys of IoT developers/practitioners. Another way to learn is by analyzing IoT developer discussions in popular online developer forums like Stack Overflow (SO). However, we are aware of no such studies that focused on IoT developers' security and ML-related discuss",2021,http://arxiv.org/abs/2104.00634v1
2025-06-23 03:41:06,IoT & Smart Systems,An Evidence-based Roadmap for IoT Software Systems Engineering,"Rebeca C. Motta, Káthia M. de Oliveira, Guilherme H. Travassos","Context: The Internet of Things (IoT) has brought expectations for software inclusion in everyday objects. However, it has challenges and requires multidisciplinary technical knowledge involving different areas that should be combined to enable IoT software systems engineering. Goal: To present an evidence-based roadmap for IoT development to support developers in specifying, designing, and implementing IoT systems. Method: An iterative approach based on experimental studies to acquire evidence ",2023,http://arxiv.org/abs/2303.07862v1
2025-06-23 03:41:06,IoT & Smart Systems,Agentic Search Engine for Real-Time IoT Data,"Abdelrahman Elewah, Khalid Elgazzar","The Internet of Things (IoT) has enabled diverse devices to communicate over the Internet, yet the fragmentation of IoT systems limits seamless data sharing and coordinated management. We have recently introduced SensorsConnect, a unified framework to enable seamless content and sensor data sharing in collaborative IoT systems, inspired by how the World Wide Web (WWW) enabled a shared and accessible space for information among humans. This paper presents the IoT Agentic Search Engine (IoT-ASE), ",2025,http://arxiv.org/abs/2503.12255v1
2025-06-23 03:41:06,IoT & Smart Systems,Data Trust and IoT,Mayra Samaniego,"People IoT surroundings have become valuable information sources that can positively impact individuals and society. A user IoT data can be used for different purposes. For instance, research and improvement of public services. However, individuals lack the governance power to share their IoT data. Data trust is a concept that brings opportunities to address data sharing in IoT. This research reviews the idea of data trust. Then, we review IoT and its unique characteristics that implement data t",2022,http://arxiv.org/abs/2205.14806v1
2025-06-23 03:41:06,IoT & Smart Systems,"Comparison of Code Quality and Best Practices in IoT and non-IoT
  Software","Nour Khezemi, Sikandar Ejaza, Naouel Moha, Yann-Gaël Guéhéneuc","Context: IoT systems, networks of connected devices powered by software, require studying software quality for maintenance. Despite extensive studies on non-IoT software quality, research on IoT software quality is lacking. It is uncertain if IoT and non-IoT systems software are comparable, hindering the confident application of results and best practices gained on non-IoT systems.   Objective: Therefore, we compare the code quality of two equivalent sets of IoT and non-IoT systems to determine ",2024,http://arxiv.org/abs/2408.02614v1
